"derived_class","base_class","file_path"
"MyAuthStateListener","firebase::auth::AuthStateListener","auth/samples/src/doc_samples.cc"
"PhoneVerifier","firebase::auth::PhoneAuthProvider::Listener","auth/samples/src/doc_samples.cc"
"firebase::firestore::jni::String","firebase::firestore::jni::Object","firestore/src/jni/string.h"
"firebase::firestore::jni::Local<String>","firebase::firestore::jni::String","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Array<unsigned char>","firebase::firestore::jni::Object","firestore/src/jni/array.h"
"firebase::firestore::jni::Local<Array<unsigned char>>","firebase::firestore::jni::Array<unsigned char>","firestore/src/jni/ownership.h"
"firebase::firestore::jni::internal::ConverterChoice<I>","firebase::firestore::jni::internal::ConverterChoice<<expression>>","firestore/src/jni/traits.h"
"firebase::firestore::jni::Array<T>","firebase::firestore::jni::Object","firestore/src/jni/array.h"
"firebase::firestore::jni::internal::ConverterChoice<1>","firebase::firestore::jni::internal::ConverterChoice<2>","firestore/src/jni/traits.h"
"firebase::firestore::jni::internal::ConverterChoice<2>","firebase::firestore::jni::internal::ConverterChoice<3>","firestore/src/jni/traits.h"
"firebase::firestore::jni::IsPrimitive<T>","std::__1::integral_constant<bool, false>","firestore/src/jni/traits.h"
"firebase::firestore::jni::IsReference<T>","std::__1::integral_constant<bool, false>","firestore/src/jni/traits.h"
"firebase::firestore::jni::internal::ConverterChoice<0>","firebase::firestore::jni::internal::ConverterChoice<1>","firestore/src/jni/traits.h"
"firebase::auth::User","firebase::auth::UserInfoInterface","auth/src/include/firebase/auth/user.h"
"firebase_testapp_automated::PhoneListener","firebase::auth::PhoneAuthProvider::Listener","auth/integration_test/src/integration_test.cc"
"firebase::auth::PhoneAuthCredential","firebase::auth::Credential","auth/src/include/firebase/auth/credential.h"
"firebase_testapp_automated::TestIdTokenListener","firebase::auth::IdTokenListener","auth/integration_test/src/integration_test.cc"
"firebase_testapp_automated::TestAuthStateListener","firebase::auth::AuthStateListener","auth/integration_test/src/integration_test.cc"
"firebase::auth::FunctionRegistryAuthStateListener","firebase::auth::AuthStateListener","auth/src/desktop/auth_desktop.h"
"firebase::auth::UserDataPersist","firebase::auth::AuthStateListener","auth/src/desktop/user_desktop.h"
"firebase::auth::IdTokenRefreshListener","firebase::auth::IdTokenListener","auth/src/desktop/auth_desktop.h"
"firebase::auth::VerifyAssertionResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/verify_assertion_response.h"
"firebase::auth::SignUpNewUserResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/sign_up_new_user_response.h"
"firebase::auth::UserData","firebase::auth::UserInfoImpl","auth/src/desktop/user_desktop.h"
"firebase::auth::GetAccountInfoRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/get_account_info_request.h"
"firebase::auth::CurrentUserBlockListener","firebase::auth::AuthStateListener","auth/src/desktop/auth_desktop.cc"
"firebase::auth::GetOobConfirmationCodeResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/get_oob_confirmation_code_response.h"
"firebase::auth::GetOobConfirmationCodeRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/get_oob_confirmation_code_request.h"
"firebase::auth::CreateAuthUriResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/create_auth_uri_response.h"
"firebase::auth::CreateAuthUriRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/create_auth_uri_request.h"
