"class_name","field_name","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::firestore::jni::Local<String>","env_","field","<error-type> *","<error-type> *","firestore/src/jni/ownership.h",159
"firebase::firestore::jni::Local<T>","env_","field","<error-type> *","<error-type> *","firestore/src/jni/ownership.h",159
"firebase::firestore::jni::Local<Array<unsigned char>>","env_","field","<error-type> *","<error-type> *","firestore/src/jni/ownership.h",159
"firebase::auth::AuthResult","user","field","User","User","auth/src/include/firebase/auth/user.h",509
"firebase::auth::AuthResult","credential","field","Credential","Credential","auth/src/include/firebase/auth/user.h",505
"firebase::auth::AuthResult","additional_user_info","field","AdditionalUserInfo","AdditionalUserInfo","auth/src/include/firebase/auth/user.h",501
"firebase::auth::Auth","auth_data_","field","AuthData *","AuthData *","auth/src/include/firebase/auth.h",598
"firebase::auth::User","auth_data_","field","AuthData *","AuthData *","auth/src/include/firebase/auth/user.h",494
"firebase::auth::Credential","impl_","field","void *","void *","auth/src/include/firebase/auth/credential.h",139
"firebase::auth::Credential","error_message_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/credential.h",145
"firebase::auth::Credential","error_code_","field","AuthError","AuthError","auth/src/include/firebase/auth/credential.h",144
"firebase::auth::PhoneAuthOptions","phone_number","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/credential.h",640
"firebase::auth::PhoneAuthOptions","force_resending_token","field","ForceResendingToken *","ForceResendingToken *","auth/src/include/firebase/auth/credential.h",637
"firebase::auth::PhoneAuthOptions","ui_parent","field","void *","void *","auth/src/include/firebase/auth/credential.h",666
"firebase::auth::PhoneAuthProvider","data_","field","PhoneAuthProviderData *","PhoneAuthProviderData *","auth/src/include/firebase/auth/credential.h",621
"firebase::auth::PhoneAuthCredential","sms_code_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/credential.h",176
"firebase::auth::IdTokenListener","auths_","field","vector<Auth *, allocator<Auth *>>","vector<Auth *, allocator<Auth *>>","auth/src/include/firebase/auth.h",664
"firebase::auth::AuthStateListener","auths_","field","vector<Auth *, allocator<Auth *>>","vector<Auth *, allocator<Auth *>>","auth/src/include/firebase/auth.h",630
"firebase::auth::UserInfoInterface","phone_number_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",117
"firebase::auth::UserInfoInterface","provider_id_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",116
"firebase::auth::UserInfoInterface","photo_url_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",115
"firebase::auth::UserInfoInterface","display_name_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",114
"firebase::auth::UserInfoInterface","email_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",113
"firebase::auth::UserInfoInterface","uid_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",112
"firebase::auth::AdditionalUserInfo","profile","field","map<Variant, Variant, less<Variant>, allocator<pair<const Variant, Variant>>>","map<Variant, Variant, less<Variant>, allocator<pair<const Variant, Variant>>>","auth/src/include/firebase/auth/user.h",131
"firebase::auth::AdditionalUserInfo","provider_id","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",123
"firebase::auth::AdditionalUserInfo","updated_credential","field","Credential","Credential","auth/src/include/firebase/auth/user.h",138
"firebase::auth::AdditionalUserInfo","user_name","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/include/firebase/auth/user.h",126
"firebase::auth::AuthData","app","field","App *","App *","auth/src/data.h",114
"firebase::auth::AuthData","future_impl","field","ReferenceCountedFutureImpl","ReferenceCountedFutureImpl","auth/src/data.h",120
"firebase::auth::AuthData","auth","field","Auth *","Auth *","auth/src/data.h",117
"firebase::auth::AuthData","current_user","field","User","User","auth/src/data.h",126
"firebase::auth::AuthData","phone_auth_provider","field","PhoneAuthProvider","PhoneAuthProvider","auth/src/data.h",158
"firebase::auth::AuthData","auth_impl","field","void *","void *","auth/src/data.h",130
"firebase::auth::AuthData","id_token_listeners","field","vector<IdTokenListener *, allocator<IdTokenListener *>>","vector<IdTokenListener *, allocator<IdTokenListener *>>","auth/src/data.h",154
"firebase::auth::AuthData","listeners","field","vector<AuthStateListener *, allocator<AuthStateListener *>>","vector<AuthStateListener *, allocator<AuthStateListener *>>","auth/src/data.h",150
"firebase::auth::AuthData","destructing_mutex","field","Mutex","Mutex","auth/src/data.h",182
"firebase::auth::AuthData","expect_id_token_mutex","field","Mutex","Mutex","auth/src/data.h",176
"firebase::auth::AuthData","token_listener_mutex","field","Mutex","Mutex","auth/src/data.h",167
"firebase::auth::AuthData","listeners_mutex","field","Mutex","Mutex","auth/src/data.h",164
"firebase::auth::AuthData","user_infos","field","vector<UserInfoInterface *, allocator<UserInfoInterface *>>","vector<UserInfoInterface *, allocator<UserInfoInterface *>>","auth/src/data.h",146
"firebase::auth::AuthData","id_token_listener_impl","field","void *","void *","auth/src/data.h",142
"firebase::auth::AuthData","listener_impl","field","void *","void *","auth/src/data.h",138
"firebase::auth::AuthData","user_impl","field","void *","void *","auth/src/data.h",134
"firebase::auth::AuthData","future_api_id","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/data.h",123
"firebase::auth::FutureCallbackData<T>","handle","field","SafeFutureHandle<T>","SafeFutureHandle<T>","auth/src/android/common_android.h",84
"firebase::auth::FutureCallbackData<T>","future_data_read_fn","field","..(*)(..)","..(*)(..)","auth/src/android/common_android.h",86
"firebase::auth::FutureCallbackData<T>","auth_data","field","AuthData *","AuthData *","auth/src/android/common_android.h",85
"firebase::auth::PhoneAuthProvider::ForceResendingToken","data_","field","ForceResendingTokenData *","ForceResendingTokenData *","auth/src/include/firebase/auth/credential.h",510
"firebase::auth::PhoneAuthProvider::Listener","data_","field","PhoneListenerData *","PhoneListenerData *","auth/src/include/firebase/auth/credential.h",578
"firebase::auth::User::UserProfile","photo_url","field","char *","char *","auth/src/include/firebase/auth/user.h",174
"firebase::auth::User::UserProfile","display_name","field","char *","char *","auth/src/include/firebase/auth/user.h",171
"firebase::auth::Auth::FetchProvidersResult","providers","field","vector<basic_string<char, char_traits<char>, allocator<char>>, allocator<basic_string<char, char_traits<char>, allocator<char>>>>","vector<basic_string<char, char_traits<char>, allocator<char>>, allocator<basic_string<char, char_traits<char>, allocator<char>>>>","auth/src/include/firebase/auth.h",145
"firebase::auth::IdTokenRefreshThread","thread_","field","Thread","Thread","auth/src/desktop/auth_desktop.h",99
"firebase::auth::IdTokenRefreshThread","auth","field","Auth *","Auth *","auth/src/desktop/auth_desktop.h",100
"firebase::auth::IdTokenRefreshThread","token_refresh_listener_","field","IdTokenRefreshListener","IdTokenRefreshListener","auth/src/desktop/auth_desktop.h",97
"firebase::auth::IdTokenRefreshThread","wakeup_sem_","field","Semaphore","Semaphore","auth/src/desktop/auth_desktop.h",95
"firebase::auth::IdTokenRefreshThread","ref_count_mutex_","field","Mutex","Mutex","auth/src/desktop/auth_desktop.h",92
"firebase::auth::FunctionRegistryAuthStateListener","callbacks_","field","vector<pair<..(*)(..), void *>, allocator<pair<..(*)(..), void *>>>","vector<pair<..(*)(..), void *>, allocator<pair<..(*)(..), void *>>>","auth/src/desktop/auth_desktop.h",138
"firebase::auth::UserDataPersist","user_secure_manager_","field","unique_ptr<UserSecureManager, default_delete<UserSecureManager>>","unique_ptr<UserSecureManager, default_delete<UserSecureManager>>","auth/src/desktop/user_desktop.h",118
"firebase::auth::IdTokenRefreshListener","mutex_","field","Mutex","Mutex","auth/src/desktop/auth_desktop.h",48
"firebase::auth::IdTokenRefreshListener","current_token_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.h",50
"firebase::auth::AuthImpl","api_key","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.h",146
"firebase::auth::AuthImpl","scheduler_","field","Scheduler","Scheduler","auth/src/desktop/auth_desktop.h",164
"firebase::auth::AuthImpl","app_name","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.h",150
"firebase::auth::AuthImpl","assigned_emulator_url","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.h",173
"firebase::auth::AuthImpl","language_code","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.h",171
"firebase::auth::AuthImpl","provider_mutex","field","Mutex","Mutex","auth/src/desktop/auth_desktop.h",167
"firebase::auth::AuthImpl","internal_listeners","field","unique_ptr<FunctionRegistryAuthStateListener, default_delete<FunctionRegistryAuthStateListener>>","unique_ptr<FunctionRegistryAuthStateListener, default_delete<FunctionRegistryAuthStateListener>>","auth/src/desktop/auth_desktop.h",161
"firebase::auth::AuthImpl","user_data_persist","field","unique_ptr<UserDataPersist, default_delete<UserDataPersist>>","unique_ptr<UserDataPersist, default_delete<UserDataPersist>>","auth/src/desktop/auth_desktop.h",155
"firebase::auth::AuthImpl","token_refresh_thread","field","IdTokenRefreshThread","IdTokenRefreshThread","auth/src/desktop/auth_desktop.h",153
"firebase::auth::AuthResultCompletionHandle","future_handle","field","SafeFutureHandle<AuthResult>","SafeFutureHandle<AuthResult>","auth/src/desktop/auth_desktop.h",118
"firebase::auth::AuthResultCompletionHandle","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_desktop.h",119
"firebase::auth::Promise<void>","handle_","field","SafeFutureHandle<void>","SafeFutureHandle<void>","auth/src/desktop/promise.h",126
"firebase::auth::Promise<void>","future_manager_","field","ReferenceCountedFutureImpl &","ReferenceCountedFutureImpl &","auth/src/desktop/promise.h",124
"firebase::auth::Promise<void>","future_","field","Future<void>","Future<void>","auth/src/desktop/promise.h",127
"firebase::auth::Promise<ResultT>","handle_","field","SafeFutureHandle<ResultT>","SafeFutureHandle<ResultT>","auth/src/desktop/promise.h",81
"firebase::auth::Promise<ResultT>","future_manager_","field","ReferenceCountedFutureImpl &","ReferenceCountedFutureImpl &","auth/src/desktop/promise.h",79
"firebase::auth::Promise<ResultT>","future_","field","Future<ResultT>","Future<ResultT>","auth/src/desktop/promise.h",82
"firebase::auth::AuthenticationResult","user_account_info_","field","GetAccountInfoResult","GetAccountInfoResult","auth/src/desktop/authentication_result.h",95
"firebase::auth::AuthenticationResult","info_","field","AdditionalUserInfo","AdditionalUserInfo","auth/src/desktop/authentication_result.h",94
"firebase::auth::AuthenticationResult","user_impl_","field","UserData","UserData","auth/src/desktop/authentication_result.h",93
"firebase::auth::AuthenticationResult","error_","field","AuthError","AuthError","auth/src/desktop/authentication_result.h",91
"firebase::auth::GetAccountInfoResult","user_impl_","field","UserData","UserData","auth/src/desktop/get_account_info_result.h",72
"firebase::auth::GetAccountInfoResult","error_","field","AuthError","AuthError","auth/src/desktop/get_account_info_result.h",70
"firebase::auth::GetAccountInfoResult","provider_data_","field","vector<UserInfoImpl, allocator<UserInfoImpl>>","vector<UserInfoImpl, allocator<UserInfoImpl>>","auth/src/desktop/get_account_info_result.h",73
"firebase::auth::UserData","access_token","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",80
"firebase::auth::UserData","id_token","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",78
"firebase::auth::UserData","refresh_token","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",79
"firebase::auth::UserInfoImpl","phone_number","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",58
"firebase::auth::UserInfoImpl","uid","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",43
"firebase::auth::UserInfoImpl","email","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",46
"firebase::auth::UserInfoImpl","provider_id","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",55
"firebase::auth::UserInfoImpl","photo_url","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",52
"firebase::auth::UserInfoImpl","display_name","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",49
"firebase::auth::CurrentUserBlockListener","semaphore_","field","Semaphore","Semaphore","auth/src/desktop/auth_desktop.cc",521
"firebase::auth::AuthDataHandle<void, GetOobConfirmationCodeRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
