"including_file","included_file","line_number"
"auth/src/include/firebase/auth.h","app/src/include/firebase/app.h",23
"auth/src/include/firebase/auth.h","app/src/include/firebase/future.h",25
"auth/src/include/firebase/auth.h","app/src/include/firebase/internal/common.h",26
"auth/src/include/firebase/auth.h","auth/src/include/firebase/auth/user.h",24
"auth/src/include/firebase/auth/user.h","app/src/include/firebase/future.h",25
"auth/src/include/firebase/auth/user.h","app/src/include/firebase/internal/common.h",26
"auth/src/include/firebase/auth/user.h","app/src/include/firebase/variant.h",27
"auth/src/include/firebase/auth/user.h","auth/src/include/firebase/auth/credential.h",23
"auth/src/include/firebase/auth/user.h","auth/src/include/firebase/auth/types.h",24
"auth/src/include/firebase/auth/credential.h","app/src/include/firebase/internal/common.h",25
"auth/src/include/firebase/auth/credential.h","auth/src/include/firebase/auth/types.h",24
"firestore/src/include/firebase/firestore/aggregate_query.h","firestore/src/include/firebase/firestore/aggregate_source.h",20
"firestore/src/include/firebase/firestore/query.h","app/src/include/firebase/internal/common.h",26
"firestore/src/include/firebase/firestore/query.h","firestore/src/include/firebase/firestore/source.h",30
"firestore/src/include/firebase/firestore/query.h","firestore/src/include/firebase/firestore/metadata_changes.h",29
"firestore/src/include/firebase/firestore/collection_reference.h","firestore/src/include/firebase/firestore/map_field_value.h",22
"firestore/src/include/firebase/firestore/collection_reference.h","firestore/src/include/firebase/firestore/query.h",23
"firestore/src/include/firebase/firestore/set_options.h","firestore/src/include/firebase/firestore/field_path.h",24
"firestore/src/include/firebase/firestore/document_reference.h","app/src/include/firebase/internal/common.h",24
"firestore/src/include/firebase/firestore/document_reference.h","firestore/src/include/firebase/firestore/map_field_value.h",27
"firestore/src/include/firebase/firestore/document_reference.h","firestore/src/include/firebase/firestore/source.h",30
"firestore/src/include/firebase/firestore/document_reference.h","firestore/src/include/firebase/firestore/metadata_changes.h",28
"firestore/src/include/firebase/firestore/document_reference.h","firestore/src/include/firebase/firestore/set_options.h",29
"firestore/src/include/firebase/firestore/document_snapshot.h","firestore/src/include/firebase/firestore/map_field_value.h",23
"firestore/src/include/firebase/firestore/document_snapshot.h","firestore/src/include/firebase/firestore/snapshot_metadata.h",24
"firestore/src/include/firebase/firestore/field_value.h","app/src/include/firebase/internal/type_traits.h",27
"firestore/src/include/firebase/firestore/field_value.h","firestore/src/include/firebase/firestore/map_field_value.h",26
"firestore/src/include/firebase/firestore/filter.h","firestore/src/include/firebase/firestore/field_value.h",23
"firestore/src/include/firebase/firestore/query_snapshot.h","firestore/src/include/firebase/firestore/metadata_changes.h",23
"firestore/src/include/firebase/firestore/query_snapshot.h","firestore/src/include/firebase/firestore/snapshot_metadata.h",24
"firestore/src/include/firebase/firestore/transaction.h","firestore/src/include/firebase/firestore/map_field_value.h",23
"firestore/src/include/firebase/firestore/transaction.h","firestore/src/include/firebase/firestore/set_options.h",24
"firestore/src/include/firebase/firestore/write_batch.h","firestore/src/include/firebase/firestore/map_field_value.h",20
"firestore/src/include/firebase/firestore/write_batch.h","firestore/src/include/firebase/firestore/set_options.h",21
"firestore/src/include/firebase/firestore.h","app/src/include/firebase/app.h",25
"firestore/src/include/firebase/firestore.h","app/src/include/firebase/future.h",26
"firestore/src/include/firebase/firestore.h","app/src/include/firebase/internal/common.h",23
"firestore/src/include/firebase/firestore.h","app/src/include/firebase/log.h",27
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/aggregate_source.h",32
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/aggregate_query.h",30
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/aggregate_query_snapshot.h",31
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/map_field_value.h",44
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/query.h",46
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/source.h",51
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/metadata_changes.h",45
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/collection_reference.h",33
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/document_change.h",34
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/set_options.h",48
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/field_path.h",37
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/document_reference.h",35
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/document_snapshot.h",36
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/snapshot_metadata.h",50
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/field_value.h",38
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/filter.h",39
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/listener_registration.h",42
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/load_bundle_task_progress.h",43
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/query_snapshot.h",47
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/settings.h",49
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/transaction.h",53
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/write_batch.h",55
"firestore/src/include/firebase/firestore.h","firestore/src/include/firebase/firestore/transaction_options.h",54
