"caller_class","caller_method","caller_qualified","callee_function","file_path","line_number"
"firebase::firestore::jni::String","String","firebase::firestore::jni::String::String","firebase::firestore::jni::Object::Object","firestore/src/jni/string.h",38
"firebase::firestore::jni::String","ToString","firebase::firestore::jni::String::ToString","firebase::firestore::jni::Env::ToStringUtf","firestore/src/jni/string.cc",73
"firebase::firestore::jni::String","Initialize","firebase::firestore::jni::String::Initialize","firebase::LogAssert","firestore/src/jni/string.cc",45
"firebase::firestore::jni::String","Initialize","firebase::firestore::jni::String::Initialize","firebase::firestore::jni::Env::ok","firestore/src/jni/string.cc",47
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","firebase::firestore::jni::Env::New","firestore/src/jni/string.cc",66
"firebase::firestore::jni::String","~String","firebase::firestore::jni::String::~String","firebase::firestore::jni::Object::~Object","firestore/src/jni/string.h",36
"firebase::firestore::jni::Local<String>","operator=","firebase::firestore::jni::Local<String>::operator=","firebase::firestore::jni::Local<String>::EnsureEnv","firestore/src/jni/ownership.h",76
"firebase::firestore::jni::Local<String>","operator=","firebase::firestore::jni::Local<String>::operator=","firebase::firestore::jni::Local<String>::env","firestore/src/jni/ownership.h",76
"firebase::firestore::jni::Local<String>","~Local","firebase::firestore::jni::Local<String>::~Local","firebase::firestore::jni::String::~String","firestore/src/jni/ownership.h",113
"firebase::firestore::jni::Local<String>","EnsureEnv","firebase::firestore::jni::Local<String>::EnsureEnv","firebase::firestore::jni::GetEnv","firestore/src/jni/ownership.h",154
"firebase::firestore::jni::Local<String>","Local","firebase::firestore::jni::Local<String>::Local","firebase::firestore::jni::String::String","firestore/src/jni/ownership.h",43
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","firebase::firestore::jni::Local<T>::get","firestore/src/jni/ownership.h",75
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","firebase::firestore::jni::Local<T>::env","firestore/src/jni/ownership.h",76
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","firebase::firestore::jni::Local<T>::release","firestore/src/jni/ownership.h",78
"firebase::firestore::jni::Local<T>","EnsureEnv","firebase::firestore::jni::Local<T>::EnsureEnv","firebase::firestore::jni::GetEnv","firestore/src/jni/ownership.h",154
"firebase::firestore::jni::Local<T>","Local","firebase::firestore::jni::Local<T>::Local","firebase::firestore::jni::Local<T>::release","firestore/src/jni/ownership.h",72
"firebase::firestore::jni::Array<unsigned char>","Size","firebase::firestore::jni::Array<unsigned char>::Size","firebase::firestore::jni::Env::GetArrayLength","firestore/src/jni/array.h",39
"firebase::firestore::jni::Array<unsigned char>","Array","firebase::firestore::jni::Array<unsigned char>::Array","firebase::firestore::jni::Object::Object","firestore/src/jni/array.h",34
"firebase::firestore::jni::Array<unsigned char>","~Array","firebase::firestore::jni::Array<unsigned char>::~Array","firebase::firestore::jni::Object::~Object","firestore/src/jni/jni_fwd.h",48
"firebase::firestore::jni::Local<Array<unsigned char>>","operator=","firebase::firestore::jni::Local<Array<unsigned char>>::operator=","firebase::firestore::jni::Local<Array<unsigned char>>::EnsureEnv","firestore/src/jni/ownership.h",76
"firebase::firestore::jni::Local<Array<unsigned char>>","operator=","firebase::firestore::jni::Local<Array<unsigned char>>::operator=","firebase::firestore::jni::Local<Array<unsigned char>>::env","firestore/src/jni/ownership.h",76
"firebase::firestore::jni::Local<Array<unsigned char>>","~Local","firebase::firestore::jni::Local<Array<unsigned char>>::~Local","firebase::firestore::jni::Array<unsigned char>::~Array","firestore/src/jni/ownership.h",113
"firebase::firestore::jni::Local<Array<unsigned char>>","EnsureEnv","firebase::firestore::jni::Local<Array<unsigned char>>::EnsureEnv","firebase::firestore::jni::GetEnv","firestore/src/jni/ownership.h",154
"firebase::firestore::jni::Local<Array<unsigned char>>","Local","firebase::firestore::jni::Local<Array<unsigned char>>::Local","firebase::firestore::jni::Array<unsigned char>::Array","firestore/src/jni/ownership.h",43
"firebase::auth::AuthResult","operator=","firebase::auth::AuthResult::operator=","firebase::auth::Credential::operator=","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","operator=","firebase::auth::AuthResult::operator=","firebase::auth::AdditionalUserInfo::operator=","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","operator=","firebase::auth::AuthResult::operator=","firebase::auth::User::operator=","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","AuthResult","firebase::auth::AuthResult::AuthResult","firebase::auth::Credential::Credential","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","AuthResult","firebase::auth::AuthResult::AuthResult","firebase::auth::User::User","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","AuthResult","firebase::auth::AuthResult::AuthResult","firebase::auth::AdditionalUserInfo::AdditionalUserInfo","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","~AuthResult","firebase::auth::AuthResult::~AuthResult","firebase::auth::User::~User","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","~AuthResult","firebase::auth::AuthResult::~AuthResult","firebase::auth::Credential::~Credential","auth/src/include/firebase/auth/user.h",498
"firebase::auth::AuthResult","~AuthResult","firebase::auth::AuthResult::~AuthResult","firebase::auth::AdditionalUserInfo::~AdditionalUserInfo","auth/src/include/firebase/auth/user.h",498
"firebase::auth::Auth","app","firebase::auth::Auth::app","firebase::LogAssert","auth/src/auth.cc",185
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::operator!=","auth/src/auth.cc",154
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::MutexLock::MutexLock","auth/src/auth.cc",132
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::MutexLock::MutexLock","auth/src/auth.cc",137
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::MutexLock::~MutexLock","auth/src/auth.cc",139
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::MutexLock::~MutexLock","auth/src/auth.cc",179
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::CleanupNotifier::FindByOwner","auth/src/auth.cc",146
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::CleanupNotifier::UnregisterObject","auth/src/auth.cc",148
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::ReferenceCountedFutureImpl::IsSafeToDelete","auth/src/auth.cc",142
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::LogDebug","auth/src/auth.cc",156
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::internal::Sleep","auth/src/auth.cc",143
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::map<App *, Auth *, less<App *>, allocator<pair<App *const, Auth *>>>::begin","auth/src/auth.cc",154
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::map<App *, Auth *, less<App *>, allocator<pair<App *const, Auth *>>>::end","auth/src/auth.cc",154
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::__map_iterator<__tree_iterator<__value_type<App *, Auth *>, __tree_node<__value_type<App *, Auth *>, void *> *, long>>::operator->","auth/src/auth.cc",155
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::__map_iterator<__tree_iterator<__value_type<App *, Auth *>, __tree_node<__value_type<App *, Auth *>, void *> *, long>>::operator->","auth/src/auth.cc",156
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::map<App *, Auth *, less<App *>, allocator<pair<App *const, Auth *>>>::erase","auth/src/auth.cc",157
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::__map_iterator<__tree_iterator<__value_type<App *, Auth *>, __tree_node<__value_type<App *, Auth *>, void *> *, long>>::operator++","auth/src/auth.cc",154
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","std::__1::map<App *, Auth *, less<App *>, allocator<pair<App *const, Auth *>>>::size","auth/src/auth.cc",162
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::auth::AuthData::ClearListeners","auth/src/auth.cc",165
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::auth::Auth::DestroyPlatformAuth","auth/src/auth.cc",174
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::auth::AuthData::~AuthData","auth/src/auth.cc",177
"firebase::auth::Auth","DeleteInternal","firebase::auth::Auth::DeleteInternal","firebase::auth::CleanupCredentialFutureImpl","auth/src/auth.cc",170
