"class_name","method_name","method_qualified","return_type","param_count","file_path"
"firebase::auth::AuthResult","operator=","firebase::auth::AuthResult::operator=","AuthResult &",1,"auth/src/include/firebase/auth/user.h"
"firebase::auth::AuthResult","AuthResult","firebase::auth::AuthResult::AuthResult","void",0,"auth/src/include/firebase/auth/user.h"
"firebase::auth::AuthResult","AuthResult","firebase::auth::AuthResult::AuthResult","void",1,"auth/src/include/firebase/auth/user.h"
"firebase::auth::AuthResult","~AuthResult","firebase::auth::AuthResult::~AuthResult","void",0,"auth/src/include/firebase/auth/user.h"
"firebase::auth::Auth","operator=","firebase::auth::Auth::operator=","Auth &",1,"auth/src/include/firebase/auth.h"
"firebase::auth::Auth","app","firebase::auth::Auth::app","App &",0,"auth/src/auth.cc"
"firebase::auth::Auth","UseEmulator","firebase::auth::Auth::UseEmulator","void",2,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignOut","firebase::auth::Auth::SignOut","void",0,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","Future<AuthResult>",0,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","User",0,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","Auth","firebase::auth::Auth::Auth","void",1,"auth/src/include/firebase/auth.h"
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","Future<void>",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","Future<AuthResult>",2,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","Future<AuthResult>",2,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignInWithCredential","firebase::auth::Auth::SignInWithCredential","Future<User>",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","Future<AuthResult>",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","RemoveIdTokenListener","firebase::auth::Auth::RemoveIdTokenListener","void",1,"auth/src/auth.cc"
"firebase::auth::Auth","AddIdTokenListener","firebase::auth::Auth::AddIdTokenListener","void",1,"auth/src/auth.cc"
"firebase::auth::Auth","RemoveAuthStateListener","firebase::auth::Auth::RemoveAuthStateListener","void",1,"auth/src/auth.cc"
"firebase::auth::Auth","AddAuthStateListener","firebase::auth::Auth::AddAuthStateListener","void",1,"auth/src/auth.cc"
"firebase::auth::Auth","UseAppLanguage","firebase::auth::Auth::UseAppLanguage","void",0,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","GetAuth","firebase::auth::Auth::GetAuth","Auth *",2,"auth/src/auth.cc"
"firebase::auth::Auth","SendPasswordResetEmailLastResult","firebase::auth::Auth::SendPasswordResetEmailLastResult","Future<void>",0,"auth/src/auth.cc"
"firebase::auth::Auth","CreateUserWithEmailAndPasswordLastResult","firebase::auth::Auth::CreateUserWithEmailAndPasswordLastResult","Future<AuthResult>",0,"auth/src/auth.cc"
"firebase::auth::Auth","SignInWithEmailAndPasswordLastResult","firebase::auth::Auth::SignInWithEmailAndPasswordLastResult","Future<AuthResult>",0,"auth/src/auth.cc"
"firebase::auth::Auth","SignInAnonymouslyLastResult","firebase::auth::Auth::SignInAnonymouslyLastResult","Future<AuthResult>",0,"auth/src/auth.cc"
"firebase::auth::Auth","SignInAndRetrieveDataWithCredentialLastResult","firebase::auth::Auth::SignInAndRetrieveDataWithCredentialLastResult","Future<AuthResult>",0,"auth/src/auth.cc"
"firebase::auth::Auth","SignInAndRetrieveDataWithCredential","firebase::auth::Auth::SignInAndRetrieveDataWithCredential","Future<AuthResult>",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignInWithCustomTokenLastResult","firebase::auth::Auth::SignInWithCustomTokenLastResult","Future<AuthResult>",0,"auth/src/auth.cc"
"firebase::auth::Auth","FetchProvidersForEmailLastResult","firebase::auth::Auth::FetchProvidersForEmailLastResult","Future<FetchProvidersResult>",0,"auth/src/auth.cc"
"firebase::auth::Auth","FetchProvidersForEmail","firebase::auth::Auth::FetchProvidersForEmail","Future<FetchProvidersResult>",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","~Auth","firebase::auth::Auth::~Auth","void",0,"auth/src/auth.cc"
"firebase::auth::Auth","language_code","firebase::auth::Auth::language_code","string",0,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","SignInWithProvider","firebase::auth::Auth::SignInWithProvider","Future<AuthResult>",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::Auth","set_language_code","firebase::auth::Auth::set_language_code","void",1,"auth/src/desktop/auth_desktop.cc"
"firebase::auth::User","operator=","firebase::auth::User::operator=","User &",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","operator!=","firebase::auth::User::operator!=","bool",1,"auth/src/common.cc"
"firebase::auth::User","operator==","firebase::auth::User::operator==","bool",1,"auth/src/common.cc"
"firebase::auth::User","phone_number","firebase::auth::User::phone_number","string",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","Delete","firebase::auth::User::Delete","Future<void>",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","uid","firebase::auth::User::uid","string",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","metadata","firebase::auth::User::metadata","UserMetadata",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","GetToken","firebase::auth::User::GetToken","Future<basic_string<char, char_traits<char>, allocator<char>>>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","is_valid","firebase::auth::User::is_valid","bool",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","DeleteLastResult","firebase::auth::User::DeleteLastResult","Future<void>",0,"auth/src/user.cc"
"firebase::auth::User","email","firebase::auth::User::email","string",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","Reauthenticate","firebase::auth::User::Reauthenticate","Future<void>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","ReauthenticateAndRetrieveData","firebase::auth::User::ReauthenticateAndRetrieveData","Future<AuthResult>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","SendEmailVerification","firebase::auth::User::SendEmailVerification","Future<void>",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","SendEmailVerificationBeforeUpdatingEmail","firebase::auth::User::SendEmailVerificationBeforeUpdatingEmail","Future<void>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","UpdateUserProfile","firebase::auth::User::UpdateUserProfile","Future<void>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","LinkWithCredential","firebase::auth::User::LinkWithCredential","Future<AuthResult>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","Unlink","firebase::auth::User::Unlink","Future<AuthResult>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","Reload","firebase::auth::User::Reload","Future<void>",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","provider_id","firebase::auth::User::provider_id","string",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","photo_url","firebase::auth::User::photo_url","string",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","display_name","firebase::auth::User::display_name","string",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","User","firebase::auth::User::User","void",0,"auth/src/common.cc"
"firebase::auth::User","User","firebase::auth::User::User","void",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","UpdatePhoneNumberCredential","firebase::auth::User::UpdatePhoneNumberCredential","Future<User>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","UpdatePassword","firebase::auth::User::UpdatePassword","Future<void>",1,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","is_anonymous","firebase::auth::User::is_anonymous","bool",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","is_email_verified","firebase::auth::User::is_email_verified","bool",0,"auth/src/desktop/user_desktop.cc"
"firebase::auth::User","ReloadLastResult","firebase::auth::User::ReloadLastResult","Future<void>",0,"auth/src/user.cc"
"firebase::auth::User","UpdatePhoneNumberCredentialLastResult","firebase::auth::User::UpdatePhoneNumberCredentialLastResult","Future<User>",0,"auth/src/user.cc"
