"class_name","method_name","method_qualified","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::firestore::jni::String","operator=","firebase::firestore::jni::String::operator=","return","String &","String &","firestore/src/jni/string.h",36
"firebase::firestore::jni::String","ToString","firebase::firestore::jni::String::ToString","return","error","error","firestore/src/jni/string.h",70
"firebase::firestore::jni::String","ToString","firebase::firestore::jni::String::ToString","return","error","error","firestore/src/jni/string.cc",73
"firebase::firestore::jni::String","ToString","firebase::firestore::jni::String::ToString","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","firestore/src/jni/string.cc",73
"firebase::firestore::jni::String","GetUtf8","firebase::firestore::jni::String::GetUtf8","return","String","String","firestore/src/jni/string.cc",61
"firebase::firestore::jni::String","GetClass","firebase::firestore::jni::String::GetClass","return","Class","Class","firestore/src/jni/string.cc",59
"firebase::firestore::jni::String","get","firebase::firestore::jni::String::get","return","error","error","firestore/src/jni/string.h",52
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","return","error","error","firestore/src/jni/string.h",48
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","return","Local<String>","Local<String>","firestore/src/jni/string.h",48
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","return","Local<String>","Local<String>","firestore/src/jni/string.cc",63
"firebase::firestore::jni::String","GetBytes","firebase::firestore::jni::String::GetBytes","return","Local<Array<unsigned char>>","Local<Array<unsigned char>>","firestore/src/jni/string.h",62
"firebase::firestore::jni::String","GetBytes","firebase::firestore::jni::String::GetBytes","return","Local<Array<unsigned char>>","Local<Array<unsigned char>>","firestore/src/jni/string.cc",69
"firebase::firestore::jni::Local<String>","operator=","firebase::firestore::jni::Local<String>::operator=","return","Local<String> &","Local<String> &","firestore/src/jni/ownership.h",74
"firebase::firestore::jni::Local<String>","get","firebase::firestore::jni::Local<String>::get","return","error","error","firestore/src/jni/ownership.h",131
"firebase::firestore::jni::Local<String>","env","firebase::firestore::jni::Local<String>::env","return","<error-type> *","<error-type> *","firestore/src/jni/ownership.h",146
"firebase::firestore::jni::Local<String>","CastTo","firebase::firestore::jni::Local<String>::CastTo","return","U","U","firestore/src/jni/ownership.h",117
"firebase::firestore::jni::Local<String>","CastTo","firebase::firestore::jni::Local<String>::CastTo","return","Local<U>","Local<U>","firestore/src/jni/ownership.h",127
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","return","Local<T> &","Local<T> &","firestore/src/jni/ownership.h",63
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","return","Local<T> &","Local<T> &","firestore/src/jni/ownership.h",74
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","return","Local<T> &","Local<T> &","firestore/src/jni/ownership.h",88
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","return","Local<T> &","Local<T> &","firestore/src/jni/ownership.h",101
"firebase::firestore::jni::Local<T>","get","firebase::firestore::jni::Local<T>::get","return","type","type","firestore/src/jni/ownership.h",131
"firebase::firestore::jni::Local<T>","env","firebase::firestore::jni::Local<T>::env","return","<error-type> *","<error-type> *","firestore/src/jni/ownership.h",146
"firebase::firestore::jni::Local<T>","release","firebase::firestore::jni::Local<T>::release","return","type","type","firestore/src/jni/ownership.h",133
"firebase::firestore::jni::Local<T>","CastTo","firebase::firestore::jni::Local<T>::CastTo","return","U","U","firestore/src/jni/ownership.h",117
"firebase::firestore::jni::Local<T>","CastTo","firebase::firestore::jni::Local<T>::CastTo","return","Local<U>","Local<U>","firestore/src/jni/ownership.h",127
"firebase::firestore::jni::Array<unsigned char>","get","firebase::firestore::jni::Array<unsigned char>::get","return","error","error","firestore/src/jni/array.h",37
"firebase::firestore::jni::Local<Array<unsigned char>>","operator=","firebase::firestore::jni::Local<Array<unsigned char>>::operator=","return","Local<Array<unsigned char>> &","Local<Array<unsigned char>> &","firestore/src/jni/ownership.h",74
"firebase::firestore::jni::Local<Array<unsigned char>>","get","firebase::firestore::jni::Local<Array<unsigned char>>::get","return","error","error","firestore/src/jni/ownership.h",131
"firebase::firestore::jni::Local<Array<unsigned char>>","env","firebase::firestore::jni::Local<Array<unsigned char>>::env","return","<error-type> *","<error-type> *","firestore/src/jni/ownership.h",146
"firebase::firestore::jni::Local<Array<unsigned char>>","CastTo","firebase::firestore::jni::Local<Array<unsigned char>>::CastTo","return","U","U","firestore/src/jni/ownership.h",117
"firebase::firestore::jni::Local<Array<unsigned char>>","CastTo","firebase::firestore::jni::Local<Array<unsigned char>>::CastTo","return","Local<U>","Local<U>","firestore/src/jni/ownership.h",127
"firebase::firestore::jni::Array<T>","get","firebase::firestore::jni::Array<T>::get","return","type","type","firestore/src/jni/array.h",37
"firebase::firestore::jni::Array<T>","Get","firebase::firestore::jni::Array<T>::Get","return","Local<T>","Local<T>","firestore/src/jni/array.h",41
"firebase::auth::AuthResult","operator=","firebase::auth::AuthResult::operator=","return","AuthResult &","AuthResult &","auth/src/include/firebase/auth/user.h",498
"firebase::auth::Auth","operator=","firebase::auth::Auth::operator=","return","Auth &","Auth &","auth/src/include/firebase/auth.h",129
"firebase::auth::Auth","app","firebase::auth::Auth::app","return","App &","App &","auth/src/auth.cc",184
"firebase::auth::Auth","SignInAnonymously","firebase::auth::Auth::SignInAnonymously","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/auth_desktop.cc",378
"firebase::auth::Auth","current_user","firebase::auth::Auth::current_user","return","User","User","auth/src/desktop/auth_desktop.cc",524
"firebase::auth::Auth","SendPasswordResetEmail","firebase::auth::Auth::SendPasswordResetEmail","return","Future<void>","Future<void>","auth/src/desktop/auth_desktop.cc",474
"firebase::auth::Auth","CreateUserWithEmailAndPassword","firebase::auth::Auth::CreateUserWithEmailAndPassword","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/auth_desktop.cc",421
"firebase::auth::Auth","SignInWithEmailAndPassword","firebase::auth::Auth::SignInWithEmailAndPassword","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/auth_desktop.cc",405
