"class_name","method_name","method_qualified","dependency_kind","param_name","type_name","type_qualified"
"firebase::firestore::jni::String","operator=","firebase::firestore::jni::String::operator=","parameter","(unnamed parameter 0)","String &","String &"
"firebase::firestore::jni::String","operator=","firebase::firestore::jni::String::operator=","parameter","(unnamed parameter 0)","String &&","String &&"
"firebase::firestore::jni::String","String","firebase::firestore::jni::String::String","parameter","string","error","error"
"firebase::firestore::jni::String","String","firebase::firestore::jni::String::String","parameter","(unnamed parameter 0)","String &","String &"
"firebase::firestore::jni::String","String","firebase::firestore::jni::String::String","parameter","(unnamed parameter 0)","String &&","String &&"
"firebase::firestore::jni::String","ToString","firebase::firestore::jni::String::ToString","parameter","env","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","ToString","firebase::firestore::jni::String::ToString","parameter","env","Env &","Env &"
"firebase::firestore::jni::String","<error>","firebase::firestore::jni::String::<error>","parameter","env","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","<error>","firebase::firestore::jni::String::<error>","parameter","encoding","String &","String &"
"firebase::firestore::jni::String","Terminate","firebase::firestore::jni::String::Terminate","parameter","env","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","Terminate","firebase::firestore::jni::String::Terminate","parameter","env","Env &","Env &"
"firebase::firestore::jni::String","Initialize","firebase::firestore::jni::String::Initialize","parameter","env","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","Initialize","firebase::firestore::jni::String::Initialize","parameter","env","Env &","Env &"
"firebase::firestore::jni::String","Initialize","firebase::firestore::jni::String::Initialize","parameter","loader","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","Initialize","firebase::firestore::jni::String::Initialize","parameter","loader","Loader &","Loader &"
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","parameter","env","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","parameter","env","Env &","Env &"
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","parameter","encoding","String &","String &"
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","parameter","bytes","<error-type> &","<error-type> &"
"firebase::firestore::jni::String","Create","firebase::firestore::jni::String::Create","parameter","bytes","Array<unsigned char> &","Array<unsigned char> &"
"firebase::firestore::jni::String","GetBytes","firebase::firestore::jni::String::GetBytes","parameter","env","Env &","Env &"
"firebase::firestore::jni::String","GetBytes","firebase::firestore::jni::String::GetBytes","parameter","encoding","String &","String &"
"firebase::firestore::jni::Local<String>","operator=","firebase::firestore::jni::Local<String>::operator=","parameter","other","Local<String> &&","Local<String> &&"
"firebase::firestore::jni::Local<String>","EnsureEnv","firebase::firestore::jni::Local<String>::EnsureEnv","parameter","other","<error-type> *","<error-type> *"
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","parameter","other","Global<T> &","Global<T> &"
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","parameter","other","Local<T> &&","Local<T> &&"
"firebase::firestore::jni::Local<T>","operator=","firebase::firestore::jni::Local<T>::operator=","parameter","other","Global<T> &&","Global<T> &&"
